"study_id","t1_response_id","t1_timestamp","consent","t1_duration_sec","LCU1_T1","LCU2_T1","LCU3_T1","LCU4_T1","LCU5_T1","LCU6_T1","SRL1_T1","SRL2_T1","SRL3_T1","SRL4_T1","SRL5_T1","SRL6_T1","LCU_T1_mean","SRL_T1_mean","t2_response_id","t2_timestamp","t2_duration_sec","SRL1_T2","SRL2_T2","SRL3_T2","SRL4_T2","SRL5_T2","SRL6_T2","SRL_T2_mean","midterm_score","final_score","midterm_status","final_status","grade_note","synthetic_flag","enrollment_status","exam_valid","section","analysis_complete","exclusion_reason"
"ALG26-012","T1R-0011","2026-04-29 13:03:31","동의함",620,2,2,3,3,2,3,4,4,2,3,4,3,2.5,3.33333333333333,"T2R-0011","2026-06-12 17:01:40",169,2,4,2,3,3,3,2.83333333333333,54.5,65.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-013","T1R-0012","2026-04-29 23:56:14","동의함",121,4,4,4,4,4,4,3,2,4,3,3,5,4,3.33333333333333,"T2R-0012","2026-06-08 10:08:17",119,4,3,3,5,3,3,3.5,54,69.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-014","T1R-0013","2026-04-30 21:10:54","동의함",185,4,3,3,3,3,4,4,3,3,5,4,3,3.33333333333333,3.66666666666667,"T2R-0013","2026-06-09 23:17:17",120,3,3,3,3,5,4,3.5,80,86,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-015","T1R-0014","2026-04-29 02:20:49","동의함",162,4,3,3,3,3,4,5,5,5,4,5,5,3.33333333333333,4.83333333333333,"T2R-0014","2026-06-08 21:32:32",94,4,2,5,4,4,4,3.83333333333333,73.5,77.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-016","T1R-0015","2026-04-27 13:14:21","동의함",160,3,3,3,3,4,3,5,3,4,5,4,5,3.16666666666667,4.33333333333333,"T2R-0015","2026-06-12 11:39:07",87,4,4,4,4,2,4,3.66666666666667,71.5,95,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-017","T1R-0016","2026-04-29 23:27:26","동의함",115,3,5,2,4,3,3,2,3,2,2,3,1,3.33333333333333,2.16666666666667,"T2R-0016","2026-06-11 21:14:26",90,3,4,3,4,4,4,3.66666666666667,72,59,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-018","T1R-0017","2026-04-29 10:14:49","동의함",115,5,4,4,4,4,5,3,2,2,4,3,3,4.33333333333333,2.83333333333333,"T2R-0017","2026-06-12 08:42:14",54,5,4,5,2,4,4,4,90.5,72.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-019","T1R-0018","2026-04-28 06:17:19","동의함",81,3,2,2,2,3,3,3,3,3,3,4,4,2.5,3.33333333333333,"T2R-0018","2026-06-08 14:57:41",157,1,1,2,2,2,1,1.5,62,47.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-020","T1R-0019","2026-04-28 21:48:21","동의함",192,4,4,4,4,4,4,4,3,4,5,4,5,4,4.16666666666667,"T2R-0019","2026-06-10 05:06:29",236,5,4,4,5,4,5,4.5,77,64.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-022","T1R-0021","2026-05-01 00:50:06","동의함",225,4,5,4,4,4,5,5,4,5,5,5,5,4.33333333333333,4.83333333333333,"T2R-0021","2026-06-09 07:35:22",96,4,5,5,5,4,5,4.66666666666667,67,88,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-023","T1R-0022","2026-05-01 07:51:37","동의함",254,5,5,5,5,5,4,4,4,4,5,4,5,4.83333333333333,4.33333333333333,"T2R-0022","2026-06-12 04:54:58",122,4,5,4,4,5,3,4.16666666666667,60.5,74.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-024","T1R-0023","2026-04-27 20:44:09","동의함",250,5,3,3,4,3,3,2,3,1,3,3,3,3.5,2.5,"T2R-0023","2026-06-09 06:48:56",114,3,3,3,2,4,2,2.83333333333333,55.5,68.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-025","T1R-0024","2026-04-29 17:59:12","동의함",166,4,4,3,5,4,5,3,4,5,4,4,4,4.16666666666667,4,"T2R-0024","2026-06-12 17:25:22",151,4,4,4,4,3,4,3.83333333333333,57.5,74,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-027","T1R-0026","2026-04-28 11:09:01","동의함",173,5,4,5,5,4,5,3,3,4,2,4,3,4.66666666666667,3.16666666666667,"T2R-0025","2026-06-12 21:32:08",145,3,5,3,4,5,4,4,66,73.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-029","T1R-0028","2026-04-28 00:15:13","동의함",128,4,3,5,4,4,4,5,4,3,3,4,5,4,4,"T2R-0027","2026-06-12 09:35:00",85,3,3,3,4,4,3,3.33333333333333,68.5,81,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-031","T1R-0030","2026-04-27 21:35:09","동의함",175,3,2,2,2,3,3,3,4,4,4,4,5,2.5,4,"T2R-0028","2026-06-11 22:33:14",72,3,3,3,2,4,3,3,84.5,92,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-032","T1R-0031","2026-04-29 23:35:26","동의함",163,3,3,3,2,3,3,5,4,5,5,5,3,2.83333333333333,4.5,"T2R-0029","2026-06-11 05:05:39",240,5,4,4,4,5,5,4.5,84,98.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-033","T1R-0032","2026-04-29 00:16:47","동의함",187,5,3,4,3,4,4,4,5,3,4,4,5,3.83333333333333,4.16666666666667,"T2R-0030","2026-06-08 16:37:39",52,4,5,3,3,5,3,3.83333333333333,85.5,88.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-034","T1R-0033","2026-05-01 03:43:35","동의함",136,4,3,4,4,4,4,2,5,3,4,5,2,3.83333333333333,3.5,"T2R-0031","2026-06-12 15:37:56",167,3,4,3,3,3,3,3.16666666666667,67,74.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-035","T1R-0034","2026-04-27 20:14:25","동의함",312,2,3,3,2,3,3,4,3,4,4,2,3,2.66666666666667,3.33333333333333,"T2R-0032","2026-06-10 23:38:27",61,4,3,3,3,3,4,3.33333333333333,77.5,88.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-037","T1R-0036","2026-05-01 04:55:53","동의함",207,3,3,4,4,4,5,4,5,3,4,4,3,3.83333333333333,3.83333333333333,"T2R-0033","2026-06-08 12:29:52",116,3,3,3,4,4,4,3.5,76,52,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-038","T1R-0037","2026-04-30 11:30:01","동의함",122,3,4,3,5,3,4,2,1,3,3,3,3,3.66666666666667,2.5,"T2R-0034","2026-06-09 18:23:28",220,3,3,2,2,4,3,2.83333333333333,98,89,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-039","T1R-0038","2026-04-28 09:23:42","동의함",180,3,2,2,3,2,2,2,3,3,3,2,1,2.33333333333333,2.33333333333333,"T2R-0035","2026-06-10 18:52:34",112,3,3,2,3,3,3,2.83333333333333,44.5,63.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-040","T1R-0039","2026-04-30 15:47:16","동의함",258,2,3,3,3,3,4,4,4,3,3,5,5,3,4,"T2R-0036","2026-06-10 15:39:06",79,3,4,4,3,3,4,3.5,71.5,68,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-041","T1R-0040","2026-04-29 17:52:56","동의함",201,3,4,4,3,4,4,4,3,3,5,4,4,3.66666666666667,3.83333333333333,"T2R-0037","2026-06-12 13:48:41",89,4,4,4,5,5,4,4.33333333333333,91,88.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-042","T1R-0041","2026-04-30 22:22:44","동의함",164,4,5,5,4,5,5,3,2,3,3,3,3,4.66666666666667,2.83333333333333,"T2R-0038","2026-06-11 16:17:11",125,3,4,4,4,3,4,3.66666666666667,77.5,87,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-043","T1R-0042","2026-04-29 20:55:50","동의함",250,2,3,2,3,2,3,2,2,2,3,4,3,2.5,2.66666666666667,"T2R-0039","2026-06-12 17:03:14",123,2,3,3,3,3,4,3,62,58.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-044","T1R-0043","2026-05-01 09:00:45","동의함",124,3,3,3,4,4,3,5,5,4,4,4,5,3.33333333333333,4.5,"T2R-0040","2026-06-10 18:45:15",57,2,3,4,4,3,5,3.5,86,89,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-046","T1R-0045","2026-04-30 12:01:20","동의함",229,3,3,5,2,3,4,5,3,4,4,2,4,3.33333333333333,3.66666666666667,"T2R-0041","2026-06-09 00:49:43",209,4,5,5,5,5,5,4.83333333333333,66.5,77,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-047","T1R-0046","2026-04-28 06:57:57","동의함",275,3,4,4,4,3,3,5,4,4,3,3,5,3.5,4,"T2R-0042","2026-06-11 19:54:54",56,3,4,4,3,3,4,3.5,91,100,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-048","T1R-0047","2026-04-30 04:48:59","동의함",316,4,4,3,3,5,4,2,1,3,3,3,3,3.83333333333333,2.5,"T2R-0043","2026-06-09 23:05:13",133,4,3,4,4,2,4,3.5,59,62.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-049","T1R-0048","2026-04-28 11:21:56","동의함",55,3,4,3,3,4,3,5,4,4,4,3,3,3.33333333333333,3.83333333333333,"T2R-0044","2026-06-09 11:05:09",100,4,3,5,4,4,3,3.83333333333333,60,67.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-050","T1R-0049","2026-04-30 02:13:49","동의함",186,2,2,1,2,2,3,2,2,2,3,2,2,2,2.16666666666667,"T2R-0045","2026-06-11 11:31:06",88,2,3,2,3,3,2,2.5,73.5,75.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-051","T1R-0050","2026-04-29 06:35:41","동의함",186,3,3,4,4,4,4,4,4,4,4,4,4,3.66666666666667,4,"T2R-0046","2026-06-11 10:39:56",73,3,4,4,4,3,4,3.66666666666667,73,77,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-052","T1R-0051","2026-04-30 00:10:54","동의함",172,3,3,4,4,3,4,4,3,4,3,4,4,3.5,3.66666666666667,"T2R-0047","2026-06-08 12:53:47",203,5,4,4,4,4,4,4.16666666666667,67.5,85,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-053","T1R-0052","2026-05-01 18:42:04","동의함",87,4,3,2,3,3,3,2,3,3,3,2,3,3,2.66666666666667,"T2R-0048","2026-06-09 03:48:48",360,4,4,4,3,3,4,3.66666666666667,80.5,74.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-054","T1R-0053","2026-04-29 12:59:22","동의함",257,4,4,4,5,4,5,4,2,4,4,3,3,4.33333333333333,3.33333333333333,"T2R-0049","2026-06-11 17:25:07",60,2,3,3,4,5,3,3.33333333333333,77,60,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-055","T1R-0054","2026-05-01 07:24:56","동의함",101,5,4,3,5,5,4,2,2,2,4,4,3,4.33333333333333,2.83333333333333,"T2R-0050","2026-06-12 12:20:09",59,3,3,3,2,4,3,3,62.5,68,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-056","T1R-0055","2026-05-01 00:12:09","동의함",376,5,5,5,4,4,4,4,5,5,4,5,5,4.5,4.66666666666667,"T2R-0051","2026-06-11 02:12:03",108,5,4,4,4,5,5,4.5,85.5,90.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-057","T1R-0056","2026-05-01 21:51:31","동의함",313,4,3,2,4,4,4,4,3,4,4,4,3,3.5,3.66666666666667,"T2R-0052","2026-06-11 03:51:55",114,5,5,3,3,3,4,3.83333333333333,98,100,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-058","T1R-0057","2026-05-01 16:36:47","동의함",277,3,4,2,3,3,2,3,3,4,2,4,4,2.83333333333333,3.33333333333333,"T2R-0053","2026-06-10 16:12:06",143,5,4,5,1,4,3,3.66666666666667,64.5,72,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-059","T1R-0058","2026-04-28 12:05:02","동의함",136,4,3,3,1,4,3,3,5,4,3,4,3,3,3.66666666666667,"T2R-0054","2026-06-08 09:27:16",172,4,4,2,3,5,3,3.5,89,99.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-060","T1R-0059","2026-05-01 08:49:07","동의함",251,4,3,3,3,3,3,3,4,2,4,4,3,3.16666666666667,3.33333333333333,"T2R-0055","2026-06-09 07:47:57",71,3,3,3,4,1,4,3,72.5,67,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-061","T1R-0060","2026-04-28 21:43:49","동의함",390,4,2,3,3,4,4,3,1,2,3,4,2,3.33333333333333,2.5,"T2R-0056","2026-06-11 04:55:20",119,3,2,2,3,3,3,2.66666666666667,62,58.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-062","T1R-0061","2026-04-28 06:15:22","동의함",177,3,4,3,4,3,2,3,3,3,2,3,4,3.16666666666667,3,"T2R-0057","2026-06-12 11:23:50",110,4,3,4,4,4,3,3.66666666666667,43,64.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-063","T1R-0062","2026-04-28 18:39:01","동의함",289,4,4,4,4,3,4,2,2,3,2,3,1,3.83333333333333,2.16666666666667,"T2R-0058","2026-06-11 18:44:22",124,2,4,1,2,3,3,2.5,40,65,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-064","T1R-0063","2026-04-27 21:10:02","동의함",273,4,3,4,3,3,3,3,2,2,3,1,3,3.33333333333333,2.33333333333333,"T2R-0059","2026-06-12 19:05:07",81,3,3,2,4,4,4,3.33333333333333,98,84,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-065","T1R-0064","2026-04-29 20:12:21","동의함",385,3,3,3,3,3,4,2,4,3,5,4,4,3.16666666666667,3.66666666666667,"T2R-0060","2026-06-12 10:21:07",86,4,5,4,4,3,4,4,93,86.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-066","T1R-0065","2026-04-28 11:17:43","동의함",124,3,4,4,3,4,4,2,4,4,4,4,3,3.66666666666667,3.5,"T2R-0061","2026-06-11 23:13:29",102,4,3,4,5,4,5,4.16666666666667,73,68.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-067","T1R-0066","2026-04-30 07:45:10","동의함",226,3,3,3,3,2,3,3,5,4,4,4,4,2.83333333333333,4,"T2R-0062","2026-06-12 09:36:14",55,3,2,4,3,3,3,3,82.5,86,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-069","T1R-0068","2026-04-29 17:37:07","동의함",290,2,1,1,3,2,3,3,3,4,3,4,2,2,3.16666666666667,"T2R-0063","2026-06-08 22:45:46",142,3,3,3,3,3,4,3.16666666666667,83,75,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-070","T1R-0069","2026-04-30 06:27:22","동의함",202,5,5,4,3,4,4,2,5,3,4,3,4,4.16666666666667,3.5,"T2R-0064","2026-06-08 21:08:02",108,2,4,4,3,4,4,3.5,80,74,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-071","T1R-0070","2026-04-27 17:55:38","동의함",183,3,4,3,3,2,2,4,3,4,4,4,3,2.83333333333333,3.66666666666667,"T2R-0065","2026-06-08 20:07:11",135,2,3,2,3,2,3,2.5,63,58.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-073","T1R-0071","2026-04-28 06:17:08","동의함",133,4,4,3,3,5,3,4,4,5,5,4,4,3.66666666666667,4.33333333333333,"T2R-0066","2026-06-10 07:19:29",235,5,5,5,3,5,4,4.5,70,79.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-074","T1R-0072","2026-04-30 18:54:35","동의함",159,4,4,2,3,4,1,3,3,2,2,1,3,3,2.33333333333333,"T2R-0067","2026-06-10 20:41:22",77,2,2,1,2,3,3,2.16666666666667,83,64.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-075","T1R-0073","2026-04-30 09:10:58","동의함",331,4,4,4,4,5,4,4,4,2,3,4,4,4.16666666666667,3.5,"T2R-0068","2026-06-11 13:57:15",153,3,3,4,3,3,3,3.16666666666667,67.5,70,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-076","T1R-0074","2026-04-30 19:05:22","동의함",170,5,4,4,3,5,5,1,3,4,3,2,3,4.33333333333333,2.66666666666667,"T2R-0069","2026-06-08 16:46:07",53,2,3,2,4,3,4,3,79,77.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-078","T1R-0075","2026-04-27 18:23:37","동의함",181,2,2,2,4,2,3,5,4,3,3,5,5,2.5,4.16666666666667,"T2R-0070","2026-06-11 04:17:30",118,3,4,4,4,5,5,4.16666666666667,63.5,54.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-079","T1R-0076","2026-04-28 18:47:18","동의함",209,4,3,3,3,3,3,2,3,4,4,4,3,3.16666666666667,3.33333333333333,"T2R-0071","2026-06-09 02:54:12",97,3,2,3,4,4,3,3.16666666666667,79,69.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-080","T1R-0077","2026-04-29 14:02:28","동의함",266,3,4,3,4,2,3,1,3,1,2,2,1,3.16666666666667,1.66666666666667,"T2R-0072","2026-06-12 09:02:16",95,2,2,2,2,3,3,2.33333333333333,74,61.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-081","T1R-0078","2026-05-01 02:20:50","동의함",463,4,5,3,3,4,5,4,5,3,3,5,4,4,4,"T2R-0073","2026-06-11 05:40:48",108,4,4,2,2,4,4,3.33333333333333,52,82,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-082","T1R-0079","2026-04-30 15:45:42","동의함",99,5,4,5,5,5,5,4,5,5,3,4,5,4.83333333333333,4.33333333333333,"T2R-0074","2026-06-09 15:25:05",100,3,5,4,2,5,5,4,94.5,99.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-083","T1R-0080","2026-04-28 10:35:24","동의함",122,5,4,4,5,3,4,5,5,4,5,5,4,4.16666666666667,4.66666666666667,"T2R-0075","2026-06-11 14:00:01",60,4,3,4,4,4,3,3.66666666666667,84,75,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-084","T1R-0081","2026-04-29 09:38:26","동의함",164,1,3,3,3,3,2,3,3,3,2,4,4,2.5,3.16666666666667,"T2R-0076","2026-06-12 21:40:26",94,3,3,2,2,3,2,2.5,69.5,58,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-085","T1R-0082","2026-04-30 15:43:52","동의함",144,4,4,4,5,5,4,5,5,4,4,5,5,4.33333333333333,4.66666666666667,"T2R-0077","2026-06-08 19:52:45",71,3,5,5,4,5,5,4.5,85.5,79,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-086","T1R-0083","2026-04-27 11:38:10","동의함",78,4,4,2,2,4,3,2,2,3,3,2,2,3.16666666666667,2.33333333333333,"T2R-0078","2026-06-09 18:08:00",138,1,4,3,2,2,5,2.83333333333333,57,60,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-087","T1R-0084","2026-04-30 01:29:57","동의함",121,5,3,5,4,3,5,4,5,3,4,5,4,4.16666666666667,4.16666666666667,"T2R-0079","2026-06-10 01:23:01",81,4,5,4,4,4,4,4.16666666666667,78.5,85,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-088","T1R-0085","2026-04-29 07:29:53","동의함",92,3,4,4,3,4,3,4,2,5,3,3,4,3.5,3.5,"T2R-0080","2026-06-11 15:08:31",132,3,3,2,3,2,3,2.66666666666667,75,69.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-089","T1R-0086","2026-05-01 11:41:39","동의함",196,3,3,2,4,3,3,4,3,3,3,4,2,3,3.16666666666667,"T2R-0081","2026-06-09 15:34:49",70,3,4,3,2,5,3,3.33333333333333,48,72,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-090","T1R-0087","2026-05-01 08:31:54","동의함",104,4,4,3,4,4,3,3,4,4,3,3,4,3.66666666666667,3.5,"T2R-0082","2026-06-10 04:22:41",54,5,3,5,5,4,5,4.5,56.5,71.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-092","T1R-0089","2026-04-28 01:49:45","동의함",111,2,4,2,4,4,3,4,3,5,4,4,4,3.16666666666667,4,"T2R-0084","2026-06-09 16:21:07",100,3,4,4,4,4,3,3.66666666666667,98,94.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-093","T1R-0090","2026-04-27 11:28:06","동의함",234,3,2,3,4,3,3,3,1,2,4,2,2,3,2.33333333333333,"T2R-0085","2026-06-12 09:42:44",105,2,3,2,2,4,3,2.66666666666667,64.5,61,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-094","T1R-0091","2026-04-29 03:06:14","동의함",55,4,4,4,2,2,4,3,3,4,3,4,4,3.33333333333333,3.5,"T2R-0086","2026-06-08 22:38:23",84,4,2,4,4,4,5,3.83333333333333,76.5,64,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-095","T1R-0092","2026-05-01 09:48:05","동의함",401,3,4,4,4,3,5,5,5,5,5,5,5,3.83333333333333,5,"T2R-0087","2026-06-12 04:17:36",118,5,5,4,4,3,4,4.16666666666667,49.5,56.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-096","T1R-0093","2026-05-01 18:33:41","동의함",130,3,4,3,4,2,3,1,1,1,1,1,1,3.16666666666667,1,"T2R-0088","2026-06-11 04:20:41",71,3,1,3,3,3,3,2.66666666666667,58.5,55.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-097","T1R-0094","2026-04-28 22:05:18","동의함",222,5,4,5,5,5,4,3,4,3,4,4,3,4.66666666666667,3.5,"T2R-0089","2026-06-12 20:32:37",135,5,5,5,3,4,5,4.5,74,72.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-098","T1R-0095","2026-04-27 19:38:09","동의함",208,4,4,4,4,4,4,3,4,3,4,3,4,4,3.5,"T2R-0090","2026-06-10 09:08:07",147,3,4,2,4,2,4,3.16666666666667,77.5,71,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-099","T1R-0096","2026-04-27 16:11:41","동의함",264,3,3,2,4,3,3,1,1,3,2,2,3,3,2,"T2R-0091","2026-06-11 14:05:25",149,3,3,4,3,4,4,3.5,62,54.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-100","T1R-0097","2026-04-27 22:42:45","동의함",385,5,5,5,5,5,5,3,4,4,4,4,3,5,3.66666666666667,"T2R-0092","2026-06-11 13:34:43",39,5,5,3,3,5,4,4.16666666666667,86.5,100,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-101","T1R-0098","2026-04-28 21:43:33","동의함",151,4,4,4,5,4,3,3,4,4,3,4,2,4,3.33333333333333,"T2R-0093","2026-06-11 15:53:48",56,4,3,4,4,3,5,3.83333333333333,78,70,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-103","T1R-0100","2026-04-29 00:40:48","동의함",177,3,3,3,3,3,3,3,2,2,3,2,3,3,2.5,"T2R-0095","2026-06-09 07:08:04",63,2,2,2,3,3,2,2.33333333333333,59,59.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-104","T1R-0101","2026-04-29 16:05:41","동의함",166,5,4,5,4,4,4,3,4,3,4,3,4,4.33333333333333,3.5,"T2R-0096","2026-06-08 17:25:01",159,5,5,4,4,5,5,4.66666666666667,54.5,62,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-105","T1R-0102","2026-04-30 11:38:50","동의함",156,3,3,3,4,3,4,2,3,2,1,1,3,3.33333333333333,2,"T2R-0097","2026-06-10 21:28:31",98,3,4,4,3,4,4,3.66666666666667,62.5,74.5,"응시","응시",,1,"수강",TRUE,"B",1,
"ALG26-106","T1R-0103","2026-04-30 13:51:02","동의함",127,5,5,5,5,5,5,4,4,3,5,4,5,5,4.16666666666667,"T2R-0098","2026-06-12 11:16:31",114,5,5,5,5,5,5,5,84,87,"응시","응시",,1,"수강",TRUE,"B",1,
