response_id,timestamp,entered_study_id,duration_sec,SRL1_T2,SRL2_T2,SRL3_T2,SRL4_T2,SRL5_T2,SRL6_T2,synthetic_flag
T2D-0001,2026-06-09 13:52:25,ALG26-005,31,그렇지 않다,,보통이다,보통이다,,그렇다,1
T2R-0074,2026-06-09 15:25:05,ALG26-082,100,보통이다,매우 그렇다,그렇다,그렇지 않다,매우 그렇다,매우 그렇다,1
T2R-0081,2026-06-09 15:34:49,ALG26-089,70,보통이다,그렇다,보통이다,그렇지 않다,매우 그렇다,보통이다,1
T2R-0084,2026-06-09 16:21:07,ALG26-092,100,보통이다,그렇다,그렇다,그렇다,그렇다,보통이다,1
T2R-0126,2026-06-09 16:27:46,ALG26-139,76,보통이다,그렇지 않다,그렇지 않다,그렇다,보통이다,보통이다,1
T2R-0161,2026-06-09 16:46:01,ALG26-178,73,그렇다,그렇지 않다,보통이다,그렇다,그렇다,매우 그렇다,1
T2R-0004,2026-06-09 16:52:25,ALG26-005,174,그렇지 않다,그렇다,보통이다,보통이다,그렇지 않다,그렇다,1
T2R-0078,2026-06-09 18:08:00,ALG26-086,138,전혀 그렇지 않다,그렇다,보통이다,그렇지 않다,그렇지 않다,매우 그렇다,1
T2R-0034,2026-06-09 18:23:28,ALG26-038,220,보통이다,보통이다,그렇지 않다,그렇지 않다,그렇다,보통이다,1
T2R-0101,2026-06-09 18:53:23,ALG26-109,99,매우 그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,1
T2R-0150,2026-06-09 21:46:33,ALG26-163,75,그렇지 않다,전혀 그렇지 않다,보통이다,보통이다,그렇지 않다,보통이다,1
T2R-0043,2026-06-09 23:05:13,ALG26-048,133,그렇다,보통이다,그렇다,그렇다,그렇지 않다,그렇다,1
T2R-0013,2026-06-09 23:17:17,ALG26-014,120,보통이다,보통이다,보통이다,보통이다,매우 그렇다,그렇다,1
T2R-0137,2026-06-10 00:43:34,ALG26-150,172,전혀 그렇지 않다,보통이다,보통이다,그렇지 않다,그렇지 않다,전혀 그렇지 않다,1
T2R-0002,2026-06-10 01:21:26, ALG26-002 ,81,보통이다,그렇다,그렇다,그렇다,그렇다,보통이다,1
T2R-0079,2026-06-10 01:23:01,ALG26-087,81,그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,1
T2R-0133,2026-06-10 03:07:52,ALG26-146,48,그렇지 않다,그렇다,그렇지 않다,보통이다,그렇지 않다,그렇다,1
T2R-0153,2026-06-10 03:43:53,ALG26-167,77,보통이다,보통이다,그렇지 않다,보통이다,보통이다,그렇다,1
T2R-0147,2026-06-10 03:47:43,ALG26-160,113,매우 그렇다,그렇다,매우 그렇다,그렇다,보통이다,매우 그렇다,1
T2R-0104,2026-06-10 03:49:02,ALG26-114,270,그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,1
T2R-0082,2026-06-10 04:22:41,ALG26-090,54,매우 그렇다,보통이다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,1
T2R-0019,2026-06-10 05:06:29,ALG26-020,236,매우 그렇다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,1
T2R-0120,2026-06-10 05:52:29,ALG26-133,95,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,매우 그렇다,1
T2R-0066,2026-06-10 07:19:29,ALG26-073,235,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,매우 그렇다,그렇다,1
T2R-0090,2026-06-10 09:08:07,ALG26-098,147,보통이다,그렇다,그렇지 않다,그렇다,그렇지 않다,그렇다,1
T2R-0100,2026-06-10 10:16:34,ALG26-108,158,보통이다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,1
T2R-0118,2026-06-10 11:31:19,ALG26-130,192,보통이다,그렇지 않다,그렇지 않다,보통이다,그렇다,그렇지 않다,1
T2R-0009,2026-06-10 12:46:51,ALG26-010,133,보통이다,그렇지 않다,보통이다,그렇다,보통이다,그렇지 않다,1
T2R-0036,2026-06-10 15:39:06,ALG26-040,79,보통이다,그렇다,그렇다,보통이다,보통이다,그렇다,1
T2R-0053,2026-06-10 16:12:06,ALG26-058,143,매우 그렇다,그렇다,매우 그렇다,전혀 그렇지 않다,그렇다,보통이다,1
T2R-0102,2026-06-10 18:03:44,ALG26-111,104,보통이다,그렇지 않다,그렇다,그렇다,그렇다,매우 그렇다,1
T2R-0040,2026-06-10 18:45:15,ALG26-044,57,그렇지 않다,보통이다,그렇다,그렇다,보통이다,매우 그렇다,1
T2R-0035,2026-06-10 18:52:34,ALG26-039,112,보통이다,보통이다,그렇지 않다,보통이다,보통이다,보통이다,1
T2R-0122,2026-06-10 20:16:01,ALG26-135,99,그렇다,매우 그렇다,매우 그렇다,보통이다,그렇다,매우 그렇다,1
T2R-0067,2026-06-10 20:41:22,ALG26-074,77,그렇지 않다,그렇지 않다,전혀 그렇지 않다,그렇지 않다,보통이다,보통이다,1
T2R-0097,2026-06-10 21:28:31,ALG26-105,98,보통이다,그렇다,그렇다,보통이다,그렇다,그렇다,1
T2R-0026,2026-06-10 23:19:00,ALG26-999,79,그렇다,그렇다,매우 그렇다,그렇다,그렇다,보통이다,1
T2R-0032,2026-06-10 23:38:27,ALG26-035,61,그렇다,보통이다,보통이다,보통이다,보통이다,그렇다,1
T2R-0103,2026-06-10 23:48:39,ALG26-112,130,매우 그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,그렇다,1
T2R-0112,2026-06-11 00:31:20,ALG26-124,80,전혀 그렇지 않다,그렇지 않다,전혀 그렇지 않다,그렇지 않다,그렇지 않다,전혀 그렇지 않다,1
T2R-0051,2026-06-11 02:12:03,ALG26-056,108,매우 그렇다,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,1
T2R-0116,2026-06-11 03:40:37,ALG26-128,120,보통이다,그렇다,그렇다,매우 그렇다,그렇다,그렇다,1
T2R-0094,2026-06-11 03:50:46,ALG26-102,125,그렇다,,보통이다,,보통이다,,1
T2R-0052,2026-06-11 03:51:55,ALG26-057,114,매우 그렇다,매우 그렇다,보통이다,보통이다,보통이다,그렇다,1
T2R-0109,2026-06-11 04:13:17,ALG26-120,56,보통이다,매우 그렇다,그렇다,보통이다,보통이다,보통이다,1
T2R-0070,2026-06-11 04:17:30,ALG26-078,118,보통이다,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,1
T2R-0088,2026-06-11 04:20:41,ALG26-096,71,보통이다,전혀 그렇지 않다,보통이다,보통이다,보통이다,보통이다,1
T2R-0007,2026-06-11 04:32:10,ALG26008,26,그렇지 않다,보통이다,보통이다,전혀 그렇지 않다,그렇지 않다,그렇지 않다,1
T2R-0056,2026-06-11 04:55:20,ALG26-061,119,보통이다,그렇지 않다,그렇지 않다,보통이다,보통이다,보통이다,1
T2R-0029,2026-06-11 05:05:39,ALG26-032,240,매우 그렇다,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,1
T2R-0073,2026-06-11 05:40:48,ALG26-081,108,그렇다,그렇다,그렇지 않다,그렇지 않다,그렇다,그렇다,1
T2R-0168,2026-06-11 07:07:52,ALG26-185,59,그렇지 않다,그렇다,그렇지 않다,그렇지 않다,보통이다,보통이다,1
T2R-0164,2026-06-11 07:12:08,ALG26-181,95,그렇다,보통이다,보통이다,그렇다,보통이다,그렇다,1
T2R-0046,2026-06-11 10:39:56,ALG26-051,73,보통이다,그렇다,그렇다,그렇다,보통이다,그렇다,1
T2R-0142,2026-06-11 11:23:04,ALG26-155,162,그렇지 않다,보통이다,보통이다,그렇다,그렇지 않다,보통이다,1
T2R-0045,2026-06-11 11:31:06,ALG26-050,88,그렇지 않다,보통이다,그렇지 않다,보통이다,보통이다,그렇지 않다,1
T2R-0092,2026-06-11 13:34:43,ALG26-100,39,매우 그렇다,매우 그렇다,보통이다,보통이다,매우 그렇다,그렇다,1
T2R-0068,2026-06-11 13:57:15,ALG26-075,153,보통이다,보통이다,그렇다,보통이다,보통이다,보통이다,1
T2R-0075,2026-06-11 14:00:01,ALG26-083,60,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,1
T2R-0091,2026-06-11 14:05:25,ALG26-099,149,보통이다,보통이다,그렇다,보통이다,그렇다,그렇다,1
T2R-0167,2026-06-11 14:27:48,ALG26-184,31,그렇다,그렇다,보통이다,보통이다,그렇지 않다,보통이다,1
T2R-0020,2026-06-11 14:29:41,ALG26-021,91,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,1
T2R-0156,2026-06-11 15:00:34,ALG26-170,67,보통이다,그렇다,보통이다,그렇다,매우 그렇다,보통이다,1
T2R-0080,2026-06-11 15:08:31,ALG26-088,132,보통이다,보통이다,그렇지 않다,보통이다,그렇지 않다,보통이다,1
T2R-0115,2026-06-11 15:11:58,ALG26-127,111,그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,1
T2R-0093,2026-06-11 15:53:48,ALG26-101,56,그렇다,보통이다,그렇다,그렇다,보통이다,매우 그렇다,1
T2R-0038,2026-06-11 16:17:11,ALG26-042,125,보통이다,그렇다,그렇다,그렇다,보통이다,그렇다,1
T2R-0049,2026-06-11 17:25:07,ALG26-054,60,그렇지 않다,보통이다,보통이다,그렇다,매우 그렇다,보통이다,1
T2R-0154,2026-06-11 17:28:57,ALG26-168,199,그렇다,보통이다,그렇지 않다,보통이다,그렇다,그렇다,1
T2R-0108,2026-06-11 18:36:09,ALG26-119,137,보통이다,그렇다,보통이다,보통이다,보통이다,그렇지 않다,1
T2R-0003,2026-06-11 18:40:43, ALG26-004 ,126,그렇다,보통이다,그렇지 않다,보통이다,보통이다,보통이다,1
T2R-0058,2026-06-11 18:44:22,ALG26-063,124,그렇지 않다,그렇다,전혀 그렇지 않다,그렇지 않다,보통이다,보통이다,1
T2R-0042,2026-06-11 19:54:54,ALG26-047,56,보통이다,그렇다,그렇다,보통이다,보통이다,그렇다,1
T2R-0016,2026-06-11 21:14:26,ALG26-017,90,보통이다,그렇다,보통이다,그렇다,그렇다,그렇다,1
T2R-0113,2026-06-11 21:15:03,ALG26-125,45,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,1
T2R-0145,2026-06-11 21:56:44,ALG26-158,100,보통이다,그렇다,매우 그렇다,매우 그렇다,보통이다,그렇다,1
T2R-0001,2026-06-11 22:05:03, ALG26-001 ,98,보통이다,그렇지 않다,보통이다,그렇다,보통이다,그렇다,1
T2R-0111,2026-06-11 22:21:10,ALG26-122,148,그렇다,매우 그렇다,매우 그렇다,그렇다,보통이다,그렇다,1
T2R-0028,2026-06-11 22:33:14,ALG26-031,72,보통이다,보통이다,보통이다,그렇지 않다,그렇다,보통이다,1
T2R-0061,2026-06-11 23:13:29,ALG26-066,102,그렇다,보통이다,그렇다,매우 그렇다,그렇다,매우 그렇다,1
T2R-0125,2026-06-11 23:21:00,ALG26-138,99,보통이다,보통이다,그렇다,보통이다,그렇다,그렇다,1
T2R-0110,2026-06-11 23:39:32,ALG26-121,166,그렇다,그렇다,보통이다,그렇다,보통이다,보통이다,1
T2R-0129,2026-06-12 00:21:01,ALG26-142,289,보통이다,그렇다,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,1
T2R-0107,2026-06-12 00:40:54,ALG26-118,104,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,1
T2R-0159,2026-06-12 01:55:46,ALG26-175,167,보통이다,보통이다,그렇다,매우 그렇다,보통이다,보통이다,1
T2R-0005,2026-06-12 02:49:50,alg26-006,44,그렇다,보통이다,매우 그렇다,그렇다,그렇다,보통이다,1
T2R-0087,2026-06-12 04:17:36,ALG26-095,118,매우 그렇다,매우 그렇다,그렇다,그렇다,보통이다,그렇다,1
T2R-0022,2026-06-12 04:54:58,ALG26-023,122,그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,보통이다,1
T2R-0130,2026-06-12 07:03:32,ALG26-143,102,그렇다,그렇다,그렇다,그렇지 않다,그렇다,매우 그렇다,1
T2R-0010,2026-06-12 07:15:17,ALG26-011,77,보통이다,그렇지 않다,그렇다,보통이다,전혀 그렇지 않다,그렇다,1
T2R-0138,2026-06-12 07:27:02,ALG26-151,77,보통이다,보통이다,그렇다,보통이다,보통이다,그렇지 않다,1
T2R-0008,2026-06-12 08:18:19,ALG26009,53,그렇지 않다,그렇지 않다,그렇다,보통이다,전혀 그렇지 않다,그렇지 않다,1
T2R-0017,2026-06-12 08:42:14,ALG26-018,54,매우 그렇다,그렇다,매우 그렇다,그렇지 않다,그렇다,그렇다,1
T2R-0072,2026-06-12 09:02:16,ALG26-080,95,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,보통이다,1
T2R-0027,2026-06-12 09:35:00,ALG26-029,85,보통이다,보통이다,보통이다,그렇다,그렇다,보통이다,1
T2R-0062,2026-06-12 09:36:14,ALG26-067,55,보통이다,그렇지 않다,그렇다,보통이다,보통이다,보통이다,1
T2R-0085,2026-06-12 09:42:44,ALG26-093,105,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,그렇다,보통이다,1
T2R-0060,2026-06-12 10:21:07,ALG26-065,86,그렇다,매우 그렇다,그렇다,그렇다,보통이다,그렇다,1
T2R-0098,2026-06-12 11:16:31,ALG26-106,114,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,1
T2R-0057,2026-06-12 11:23:50,ALG26-062,110,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,1
T2R-0015,2026-06-12 11:39:07,ALG26-016,87,그렇다,그렇다,그렇다,그렇다,그렇지 않다,그렇다,1
T2R-0050,2026-06-12 12:20:09,ALG26-055,59,보통이다,보통이다,보통이다,그렇지 않다,그렇다,보통이다,1
T2R-0117,2026-06-12 12:38:04,ALG26-129,118,매우 그렇다,보통이다,매우 그렇다,그렇다,그렇다,매우 그렇다,1
T2R-0119,2026-06-12 13:11:09,ALG26-131,101,그렇다,보통이다,보통이다,그렇다,그렇다,그렇다,1
T2R-0132,2026-06-12 13:46:12,ALG26-145,78,그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,1
T2R-0037,2026-06-12 13:48:41,ALG26-041,89,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,1
T2R-0152,2026-06-12 14:56:20,ALG26-166,78,매우 그렇다,매우 그렇다,보통이다,그렇다,매우 그렇다,보통이다,1
T2R-0031,2026-06-12 15:37:56,ALG26-034,167,보통이다,그렇다,보통이다,보통이다,보통이다,보통이다,1
T2R-0011,2026-06-12 17:01:40,ALG26-012,169,그렇지 않다,그렇다,그렇지 않다,보통이다,보통이다,보통이다,1
T2R-0039,2026-06-12 17:03:14,ALG26-043,123,그렇지 않다,보통이다,보통이다,보통이다,보통이다,그렇다,1
T2R-0024,2026-06-12 17:25:22,ALG26-025,151,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,1
T2R-0106,2026-06-12 17:41:26,ALG26-116,127,그렇지 않다,그렇다,그렇지 않다,그렇다,그렇지 않다,보통이다,1
T2R-0144,2026-06-12 18:52:59,ALG26-157,101,그렇지 않다,보통이다,보통이다,그렇지 않다,보통이다,보통이다,1
T2R-0059,2026-06-12 19:05:07,ALG26-064,81,보통이다,보통이다,그렇지 않다,그렇다,그렇다,그렇다,1
T2R-0158,2026-06-12 20:17:36,ALG26-174,207,그렇다,매우 그렇다,보통이다,그렇다,그렇다,그렇다,1
T2R-0089,2026-06-12 20:32:37,ALG26-097,135,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,그렇다,매우 그렇다,1
T2R-0025,2026-06-12 21:32:08,ALG26-027,145,보통이다,매우 그렇다,보통이다,그렇다,매우 그렇다,그렇다,1
T2R-0157,2026-06-12 21:32:32,ALG26-173,106,보통이다,보통이다,그렇다,그렇다,보통이다,보통이다,1
T2R-0083,2026-06-12 21:39:17,ALG26-091,62,보통이다,매우 그렇다,보통이다,보통이다,그렇다,매우 그렇다,1
T2R-0076,2026-06-12 21:40:26,ALG26-084,94,보통이다,보통이다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,1
T2R-0143,2026-06-12 22:59:22,ALG26-156,36,전혀 그렇지 않다,보통이다,그렇다,보통이다,그렇지 않다,그렇지 않다,1
