roster_id,study_id,section,enrollment_status,synthetic_flag
R26-0073,ALG26-073,B,수강,1
R26-0074,ALG26-074,B,수강,1
R26-0075,ALG26-075,B,수강,1
R26-0076,ALG26-076,B,수강,1
R26-0077,ALG26-077,B,수강,1
R26-0078,ALG26-078,B,수강,1
R26-0079,ALG26-079,B,수강,1
R26-0080,ALG26-080,B,수강,1
R26-0081,ALG26-081,B,수강,1
R26-0082,ALG26-082,B,수강,1
R26-0083,ALG26-083,B,수강,1
R26-0084,ALG26-084,B,수강,1
R26-0085,ALG26-085,B,수강,1
R26-0086,ALG26-086,B,수강,1
R26-0087,ALG26-087,B,수강,1
R26-0088,ALG26-088,B,수강,1
R26-0089,ALG26-089,B,수강,1
R26-0090,ALG26-090,B,수강,1
R26-0091,ALG26-091,B,수강,1
R26-0092,ALG26-092,B,수강,1
R26-0093,ALG26-093,B,수강,1
R26-0094,ALG26-094,B,수강,1
R26-0095,ALG26-095,B,수강,1
R26-0096,ALG26-096,B,수강,1
R26-0097,ALG26-097,B,수강,1
R26-0098,ALG26-098,B,수강,1
R26-0099,ALG26-099,B,수강,1
R26-0100,ALG26-100,B,수강,1
R26-0101,ALG26-101,B,수강,1
R26-0102,ALG26-102,B,수강,1
R26-0103,ALG26-103,B,수강,1
R26-0104,ALG26-104,B,수강,1
R26-0105,ALG26-105,B,수강,1
R26-0106,ALG26-106,B,수강,1
R26-0107,ALG26-107,B,수강,1
R26-0108,ALG26-108,B,수강,1
R26-0109,ALG26-109,B,수강,1
R26-0110,ALG26-110,B,수강,1
R26-0111,ALG26-111,B,수강,1
R26-0112,ALG26-112,B,수강,1
R26-0113,ALG26-113,B,수강,1
R26-0114,ALG26-114,B,수강,1
R26-0115,ALG26-115,B,수강,1
R26-0116,ALG26-116,B,수강,1
R26-0117,ALG26-117,B,수강,1
R26-0118,ALG26-118,B,수강,1
R26-0119,ALG26-119,B,중도포기,1
R26-0120,ALG26-120,B,수강,1
R26-0121,ALG26-121,B,수강,1
R26-0122,ALG26-122,B,수강,1
R26-0123,ALG26-123,B,수강,1
R26-0124,ALG26-124,B,수강,1
R26-0125,ALG26-125,B,수강,1
R26-0126,ALG26-126,B,수강,1
R26-0127,ALG26-127,C,수강,1
R26-0128,ALG26-128,C,수강,1
R26-0129,ALG26-129,C,수강,1
R26-0130,ALG26-130,C,수강,1
R26-0131,ALG26-131,C,수강,1
R26-0132,ALG26-132,C,수강,1
R26-0133,ALG26-133,C,수강,1
R26-0134,ALG26-134,C,수강,1
R26-0135,ALG26-135,C,수강,1
R26-0136,ALG26-136,C,수강,1
R26-0137,ALG26-137,C,수강,1
R26-0138,ALG26-138,C,수강,1
R26-0139,ALG26-139,C,수강,1
R26-0140,ALG26-140,C,수강,1
R26-0141,ALG26-141,C,수강,1
R26-0142,ALG26-142,C,수강,1
R26-0143,ALG26-143,C,수강,1
R26-0144,ALG26-144,C,수강,1
R26-0145,ALG26-145,C,수강,1
R26-0146,ALG26-146,C,수강,1
R26-0147,ALG26-147,C,수강,1
R26-0148,ALG26-148,C,수강,1
R26-0149,ALG26-149,C,수강,1
R26-0150,ALG26-150,C,수강,1
R26-0151,ALG26-151,C,수강,1
R26-0152,ALG26-152,C,수강,1
R26-0153,ALG26-153,C,수강,1
R26-0154,ALG26-154,C,수강,1
R26-0155,ALG26-155,C,수강,1
R26-0156,ALG26-156,C,수강,1
R26-0157,ALG26-157,C,수강,1
R26-0158,ALG26-158,C,수강,1
R26-0159,ALG26-159,C,수강,1
R26-0160,ALG26-160,C,수강,1
R26-0161,ALG26-161,C,수강,1
R26-0162,ALG26-162,C,수강,1
R26-0163,ALG26-163,C,수강,1
R26-0164,ALG26-164,C,수강,1
R26-0165,ALG26-165,C,수강,1
R26-0166,ALG26-166,C,수강,1
R26-0167,ALG26-167,C,수강,1
R26-0168,ALG26-168,C,수강,1
R26-0169,ALG26-169,C,수강,1
R26-0170,ALG26-170,C,수강,1
R26-0171,ALG26-171,C,수강,1
R26-0172,ALG26-172,C,수강,1
R26-0173,ALG26-173,C,수강,1
R26-0174,ALG26-174,C,수강,1
R26-0175,ALG26-175,C,수강,1
R26-0176,ALG26-176,C,수강,1
R26-0177,ALG26-177,C,수강,1
R26-0178,ALG26-178,C,수강,1
R26-0179,ALG26-179,C,수강,1
R26-0180,ALG26-180,C,수강,1
R26-0181,ALG26-181,C,수강,1
R26-0182,ALG26-182,C,수강,1
R26-0183,ALG26-183,C,수강,1
R26-0184,ALG26-184,C,수강,1
R26-0185,ALG26-185,C,수강,1
R26-0186,ALG26-186,C,수강,1
