response_id,timestamp,entered_study_id,consent,duration_sec,LCU1_T1,LCU2_T1,LCU3_T1,LCU4_T1,LCU5_T1,LCU6_T1,SRL1_T1,SRL2_T1,SRL3_T1,SRL4_T1,SRL5_T1,SRL6_T1,synthetic_flag
T1R-0136,2026-04-27 16:11:30,ALG26-140,동의함,131,그렇다,그렇다,보통이다,그렇다,보통이다,보통이다,그렇지 않다,보통이다,보통이다,보통이다,그렇지 않다,그렇다,1
T1R-0096,2026-04-27 16:11:41,ALG26-099,동의함,264,보통이다,보통이다,그렇지 않다,그렇다,보통이다,보통이다,전혀 그렇지 않다,전혀 그렇지 않다,보통이다,그렇지 않다,그렇지 않다,보통이다,1
T1R-0099,2026-04-27 17:04:02,ALG26-102,동의함,80,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,보통이다,보통이다,그렇다,보통이다,1
T1R-0153,2026-04-27 17:22:08,ALG26-157,동의함,87,보통이다,보통이다,그렇지 않다,보통이다,보통이다,보통이다,보통이다,보통이다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,1
T1R-0070,2026-04-27 17:55:38,ALG26-071,동의함,183,보통이다,그렇다,보통이다,보통이다,그렇지 않다,그렇지 않다,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,1
T1R-0075,2026-04-27 18:23:37,ALG26-078,동의함,181,그렇지 않다,그렇지 않다,그렇지 않다,그렇다,그렇지 않다,보통이다,매우 그렇다,그렇다,보통이다,보통이다,매우 그렇다,매우 그렇다,1
T1R-0126,2026-04-27 18:27:33,ALG26-130,동의함,209,그렇다,보통이다,매우 그렇다,그렇지 않다,보통이다,그렇지 않다,그렇다,그렇지 않다,그렇다,그렇지 않다,그렇다,그렇지 않다,1
T1R-0176,2026-04-27 18:58:08,ALG26-181,동의함,103,보통이다,보통이다,매우 그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,보통이다,매우 그렇다,그렇다,1
T1R-0095,2026-04-27 19:38:09,ALG26-098,동의함,208,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,보통이다,그렇다,보통이다,그렇다,1
T1R-0108,2026-04-27 20:13:53,ALG26-111,동의함,104,그렇지 않다,보통이다,그렇지 않다,보통이다,그렇지 않다,그렇다,보통이다,보통이다,보통이다,그렇지 않다,보통이다,그렇다,1
T1R-0034,2026-04-27 20:14:25,ALG26-035,동의함,312,그렇지 않다,보통이다,보통이다,그렇지 않다,보통이다,보통이다,그렇다,보통이다,그렇다,그렇다,그렇지 않다,보통이다,1
T1R-0023,2026-04-27 20:44:09,ALG26-024,동의함,250,매우 그렇다,보통이다,보통이다,그렇다,보통이다,보통이다,그렇지 않다,보통이다,전혀 그렇지 않다,보통이다,보통이다,보통이다,1
T1R-0063,2026-04-27 21:10:02,ALG26-064,동의함,273,그렇다,보통이다,그렇다,보통이다,보통이다,보통이다,보통이다,그렇지 않다,그렇지 않다,보통이다,전혀 그렇지 않다,보통이다,1
T1R-0030,2026-04-27 21:35:09,ALG26-031,동의함,175,보통이다,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,보통이다,보통이다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,1
T1R-0125,2026-04-27 22:13:16,ALG26-129,동의함,123,보통이다,보통이다,보통이다,보통이다,그렇다,그렇지 않다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,보통이다,1
T1R-0097,2026-04-27 22:42:45,ALG26-100,동의함,385,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,그렇다,그렇다,그렇다,그렇다,보통이다,1
T1R-0132,2026-04-27 23:04:23,ALG26-136,동의함,334,보통이다,보통이다,그렇다,그렇다,그렇다,보통이다,그렇다,보통이다,그렇다,그렇다,보통이다,보통이다,1
T1R-0004,2026-04-27 23:10:45, ALG26-005 ,동의함,127,그렇지 않다,그렇다,보통이다,보통이다,보통이다,그렇지 않다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,매우 그렇다,1
T1R-0157,2026-04-27 23:49:24,ALG26-161,동의함,255,보통이다,보통이다,그렇다,보통이다,보통이다,그렇다,그렇다,보통이다,보통이다,그렇다,그렇다,보통이다,1
T1R-0028,2026-04-28 00:15:13,ALG26-029,동의함,128,그렇다,보통이다,매우 그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,보통이다,보통이다,그렇다,매우 그렇다,1
T1R-0089,2026-04-28 01:49:45,ALG26-092,동의함,111,그렇지 않다,그렇다,그렇지 않다,그렇다,그렇다,보통이다,그렇다,보통이다,매우 그렇다,그렇다,그렇다,그렇다,1
T1R-0169,2026-04-28 02:19:14,ALG26-173,동의함,112,그렇다,그렇다,그렇지 않다,보통이다,그렇다,보통이다,그렇다,보통이다,그렇지 않다,그렇다,그렇다,그렇지 않다,1
T1R-0137,2026-04-28 02:23:48,ALG26-141,동의함,98,보통이다,그렇지 않다,그렇다,그렇다,그렇다,보통이다,그렇지 않다,그렇다,보통이다,매우 그렇다,매우 그렇다,그렇다,1
T1R-0158,2026-04-28 02:47:50,ALG26-162,동의함,237,그렇다,그렇다,그렇다,그렇다,그렇다,그렇지 않다,보통이다,그렇다,보통이다,그렇지 않다,보통이다,매우 그렇다,1
T1R-0120,2026-04-28 03:08:10,ALG26-124,동의함,123,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,전혀 그렇지 않다,그렇지 않다,그렇지 않다,1
T1D-0002,2026-04-28 05:39:45,ALG26-002,동의함,59,보통이다,,그렇다,그렇다,그렇지 않다,매우 그렇다,그렇지 않다,보통이다,,전혀 그렇지 않다,,그렇지 않다,1
T1R-0061,2026-04-28 06:15:22,ALG26-062,동의함,177,보통이다,그렇다,보통이다,그렇다,보통이다,그렇지 않다,보통이다,보통이다,보통이다,그렇지 않다,보통이다,그렇다,1
T1R-0071,2026-04-28 06:17:08,ALG26-073,동의함,133,그렇다,그렇다,보통이다,보통이다,매우 그렇다,보통이다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,1
T1R-0018,2026-04-28 06:17:19,ALG26-019,동의함,81,보통이다,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,그렇다,그렇다,1
T1R-0046,2026-04-28 06:57:57,ALG26-047,동의함,275,보통이다,그렇다,그렇다,그렇다,보통이다,보통이다,매우 그렇다,그렇다,그렇다,보통이다,보통이다,매우 그렇다,1
T1R-0010,2026-04-28 07:07:05,alg26-011,동의함,224,보통이다,그렇다,그렇다,그렇다,보통이다,그렇다,매우 그렇다,그렇다,보통이다,보통이다,그렇지 않다,보통이다,1
T1R-0119,2026-04-28 07:34:49,ALG26-122,동의함,196,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,보통이다,보통이다,그렇다,1
T1R-0002,2026-04-28 08:39:45,ALG26-002,동의함,126,보통이다,보통이다,그렇다,그렇다,그렇지 않다,매우 그렇다,그렇지 않다,보통이다,그렇다,전혀 그렇지 않다,보통이다,그렇지 않다,1
T1R-0009,2026-04-28 08:55:41,alg26-010,동의함,171,보통이다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,보통이다,1
T1R-0038,2026-04-28 09:23:42,ALG26-039,동의함,180,보통이다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,보통이다,보통이다,그렇지 않다,전혀 그렇지 않다,1
T1R-0080,2026-04-28 10:35:24,ALG26-083,동의함,122,매우 그렇다,그렇다,그렇다,매우 그렇다,보통이다,그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,1
T1R-0026,2026-04-28 11:09:01,ALG26-027,동의함,173,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,보통이다,보통이다,그렇다,그렇지 않다,그렇다,보통이다,1
T1R-0065,2026-04-28 11:17:43,ALG26-066,동의함,124,보통이다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇지 않다,그렇다,그렇다,그렇다,그렇다,보통이다,1
T1R-0048,2026-04-28 11:21:56,ALG26-049,동의함,55,보통이다,그렇다,보통이다,보통이다,그렇다,보통이다,매우 그렇다,그렇다,그렇다,그렇다,보통이다,보통이다,1
T1R-0107,2026-04-28 11:38:55,ALG26-110,동의함,183,보통이다,,그렇지 않다,보통이다,,보통이다,그렇다,,그렇다,,매우 그렇다,,1
T1R-0058,2026-04-28 12:05:02,ALG26-059,동의함,136,그렇다,보통이다,보통이다,전혀 그렇지 않다,그렇다,보통이다,보통이다,매우 그렇다,그렇다,보통이다,그렇다,보통이다,1
T1R-0174,2026-04-28 13:10:01,ALG26-179,동의함,219,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,보통이다,보통이다,그렇다,그렇지 않다,그렇다,그렇다,그렇지 않다,1
T1R-0117,2026-04-28 13:50:30,ALG26-120,동의함,258,그렇다,보통이다,그렇다,보통이다,보통이다,보통이다,보통이다,그렇다,그렇다,매우 그렇다,그렇다,보통이다,1
T1R-0134,2026-04-28 14:12:57,ALG26-138,동의함,175,그렇지 않다,보통이다,보통이다,그렇다,그렇다,보통이다,그렇지 않다,보통이다,보통이다,매우 그렇다,보통이다,매우 그렇다,1
T1R-0111,2026-04-28 14:40:44,ALG26-114,동의함,249,보통이다,그렇다,보통이다,보통이다,그렇다,그렇다,그렇다,보통이다,매우 그렇다,그렇다,그렇다,그렇다,1
T1R-0151,2026-04-28 14:58:51,ALG26-155,동의함,186,전혀 그렇지 않다,보통이다,전혀 그렇지 않다,보통이다,전혀 그렇지 않다,보통이다,보통이다,보통이다,그렇다,매우 그렇다,그렇다,보통이다,1
T1R-0140,2026-04-28 15:00:40,ALG26-144,동의함,394,보통이다,보통이다,그렇다,그렇지 않다,보통이다,그렇다,그렇다,보통이다,그렇다,그렇지 않다,그렇지 않다,그렇지 않다,1
T1R-0114,2026-04-28 15:24:10,ALG26-117,동의함,205,그렇다,그렇다,매우 그렇다,그렇다,보통이다,매우 그렇다,보통이다,그렇다,그렇지 않다,보통이다,보통이다,그렇지 않다,1
T1R-0104,2026-04-28 17:44:25,ALG26-107,동의함,296,그렇다,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,보통이다,보통이다,보통이다,그렇다,그렇다,1
T1R-0154,2026-04-28 17:50:36,ALG26-158,동의함,110,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,보통이다,매우 그렇다,매우 그렇다,그렇다,보통이다,매우 그렇다,1
T1R-0044,2026-04-28 18:01:22,ALG26-045,동의함,298,보통이다,그렇지 않다,보통이다,전혀 그렇지 않다,보통이다,그렇지 않다,그렇지 않다,전혀 그렇지 않다,매우 그렇다,그렇지 않다,그렇다,그렇지 않다,1
T1R-0171,2026-04-28 18:21:56,ALG26-175,동의함,199,보통이다,그렇다,그렇다,그렇다,그렇다,보통이다,보통이다,보통이다,보통이다,그렇다,그렇다,그렇다,1
T1R-0062,2026-04-28 18:39:01,ALG26-063,동의함,289,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,보통이다,전혀 그렇지 않다,1
T1R-0076,2026-04-28 18:47:18,ALG26-079,동의함,209,그렇다,보통이다,보통이다,보통이다,보통이다,보통이다,그렇지 않다,보통이다,그렇다,그렇다,그렇다,보통이다,1
T1R-0098,2026-04-28 21:43:33,ALG26-101,동의함,151,그렇다,그렇다,그렇다,매우 그렇다,그렇다,보통이다,보통이다,그렇다,그렇다,보통이다,그렇다,그렇지 않다,1
T1R-0060,2026-04-28 21:43:49,ALG26-061,동의함,390,그렇다,그렇지 않다,보통이다,보통이다,그렇다,그렇다,보통이다,전혀 그렇지 않다,그렇지 않다,보통이다,그렇다,그렇지 않다,1
T1R-0155,2026-04-28 21:46:00,ALG26-159,동의함,143,보통이다,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇지 않다,그렇지 않다,그렇다,그렇지 않다,그렇지 않다,1
T1R-0019,2026-04-28 21:48:21,ALG26-020,동의함,192,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,매우 그렇다,그렇다,매우 그렇다,1
T1R-0094,2026-04-28 22:05:18,ALG26-097,동의함,222,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,보통이다,그렇다,보통이다,그렇다,그렇다,보통이다,1
T1R-0144,2026-04-28 22:55:22,ALG26-148,동의함,227,그렇다,그렇다,그렇다,보통이다,보통이다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,1
T1R-0032,2026-04-29 00:16:47,ALG26-033,동의함,187,매우 그렇다,보통이다,그렇다,보통이다,그렇다,그렇다,그렇다,매우 그렇다,보통이다,그렇다,그렇다,매우 그렇다,1
T1R-0143,2026-04-29 00:40:17,ALG26-147,동의함,266,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,1
T1R-0100,2026-04-29 00:40:48,ALG26-103,동의함,177,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,보통이다,1
T1R-0146,2026-04-29 01:21:43,ALG26-150,동의함,142,보통이다,보통이다,보통이다,그렇지 않다,보통이다,보통이다,그렇지 않다,그렇다,보통이다,그렇지 않다,그렇지 않다,전혀 그렇지 않다,1
T1R-0014,2026-04-29 02:20:49,ALG26-015,동의함,162,그렇다,보통이다,보통이다,보통이다,보통이다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,1
T1R-0091,2026-04-29 03:06:14,ALG26-094,동의함,55,그렇다,그렇다,그렇다,그렇지 않다,그렇지 않다,그렇다,보통이다,보통이다,그렇다,보통이다,그렇다,그렇다,1
T1R-0172,2026-04-29 05:49:57,ALG26-177,동의함,122,그렇지 않다,그렇지 않다,그렇다,전혀 그렇지 않다,보통이다,보통이다,보통이다,매우 그렇다,매우 그렇다,그렇다,보통이다,매우 그렇다,1
T1R-0050,2026-04-29 06:35:41,ALG26-051,동의함,186,보통이다,보통이다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,1
T1R-0085,2026-04-29 07:29:53,ALG26-088,동의함,92,보통이다,그렇다,그렇다,보통이다,그렇다,보통이다,그렇다,그렇지 않다,매우 그렇다,보통이다,보통이다,그렇다,1
T1R-0148,2026-04-29 07:35:59,ALG26-152,동의함,181,그렇다,보통이다,그렇지 않다,보통이다,보통이다,보통이다,그렇다,그렇다,보통이다,그렇다,보통이다,매우 그렇다,1
T1R-0164,2026-04-29 08:18:23,ALG26-168,동의함,262,보통이다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇지 않다,그렇지 않다,보통이다,보통이다,그렇지 않다,보통이다,1
T1R-0081,2026-04-29 09:38:26,ALG26-084,동의함,164,전혀 그렇지 않다,보통이다,보통이다,보통이다,보통이다,그렇지 않다,보통이다,보통이다,보통이다,그렇지 않다,그렇다,그렇다,1
T1R-0017,2026-04-29 10:14:49,ALG26-018,동의함,115,매우 그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,보통이다,그렇지 않다,그렇지 않다,그렇다,보통이다,보통이다,1
T1R-0122,2026-04-29 10:52:42,ALG26-126,동의함,84,그렇다,매우 그렇다,그렇다,보통이다,매우 그렇다,매우 그렇다,그렇다,보통이다,보통이다,그렇지 않다,그렇다,보통이다,1
T1R-0105,2026-04-29 11:53:08,ALG26-108,동의함,241,매우 그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,1
T1R-0109,2026-04-29 12:03:27,ALG26-112,동의함,211,그렇지 않다,그렇지 않다,보통이다,보통이다,그렇다,그렇다,보통이다,보통이다,매우 그렇다,보통이다,매우 그렇다,그렇다,1
T1R-0053,2026-04-29 12:59:22,ALG26-054,동의함,257,그렇다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,그렇지 않다,그렇다,그렇다,보통이다,보통이다,1
T1R-0011,2026-04-29 13:03:31,ALG26012,동의함,620,그렇지 않다,그렇지 않다,보통이다,보통이다,그렇지 않다,보통이다,그렇다,그렇다,그렇지 않다,보통이다,그렇다,보통이다,1
T1R-0170,2026-04-29 13:27:10,ALG26-174,동의함,258,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,그렇다,보통이다,보통이다,그렇지 않다,그렇다,1
T1R-0077,2026-04-29 14:02:28,ALG26-080,동의함,266,보통이다,그렇다,보통이다,그렇다,그렇지 않다,보통이다,전혀 그렇지 않다,보통이다,전혀 그렇지 않다,그렇지 않다,그렇지 않다,전혀 그렇지 않다,1
T1R-0101,2026-04-29 16:05:41,ALG26-104,동의함,166,매우 그렇다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,보통이다,그렇다,보통이다,그렇다,1
T1R-0112,2026-04-29 17:00:19,ALG26-115,동의함,368,보통이다,그렇다,보통이다,보통이다,그렇다,보통이다,그렇지 않다,보통이다,그렇지 않다,그렇다,그렇지 않다,보통이다,1
T1R-0165,2026-04-29 17:24:19,ALG26-169,동의함,113,보통이다,보통이다,보통이다,그렇지 않다,매우 그렇다,보통이다,보통이다,그렇다,그렇지 않다,보통이다,보통이다,보통이다,1
T1R-0068,2026-04-29 17:37:07,ALG26-069,동의함,290,그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,보통이다,그렇지 않다,보통이다,보통이다,보통이다,그렇다,보통이다,그렇다,그렇지 않다,1
T1R-0040,2026-04-29 17:52:56,ALG26-041,동의함,201,보통이다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,보통이다,매우 그렇다,그렇다,그렇다,1
T1R-0024,2026-04-29 17:59:12,ALG26-025,동의함,166,그렇다,그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,보통이다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,1
T1R-0129,2026-04-29 19:12:21,ALG26-133,동의함,117,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,1
T1R-0160,2026-04-29 19:19:53,ALG26-164,동의함,164,보통이다,보통이다,보통이다,그렇지 않다,그렇지 않다,보통이다,그렇다,보통이다,그렇지 않다,그렇다,보통이다,보통이다,1
T1R-0064,2026-04-29 20:12:21,ALG26-065,동의함,385,보통이다,보통이다,보통이다,보통이다,보통이다,그렇다,그렇지 않다,그렇다,보통이다,매우 그렇다,그렇다,그렇다,1
T1R-0042,2026-04-29 20:55:50,ALG26-043,동의함,250,그렇지 않다,보통이다,그렇지 않다,보통이다,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,그렇다,보통이다,1
T1R-0005,2026-04-29 21:28:57, ALG26-006 ,동의함,38,전혀 그렇지 않다,보통이다,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,1
T1R-0159,2026-04-29 22:31:58,ALG26-163,동의함,218,그렇지 않다,그렇지 않다,그렇지 않다,그렇다,보통이다,보통이다,그렇지 않다,보통이다,그렇지 않다,보통이다,전혀 그렇지 않다,보통이다,1
T1R-0016,2026-04-29 23:27:26,ALG26-017,동의함,115,보통이다,매우 그렇다,그렇지 않다,그렇다,보통이다,보통이다,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,보통이다,전혀 그렇지 않다,1
T1R-0031,2026-04-29 23:35:26,ALG26-032,동의함,163,보통이다,보통이다,보통이다,그렇지 않다,보통이다,보통이다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,1
T1R-0012,2026-04-29 23:56:14,ALG26013,동의함,121,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇지 않다,그렇다,보통이다,보통이다,매우 그렇다,1
T1R-0051,2026-04-30 00:10:54,ALG26-052,동의함,172,보통이다,보통이다,그렇다,그렇다,보통이다,그렇다,그렇다,보통이다,그렇다,보통이다,그렇다,그렇다,1
T1R-0178,2026-04-30 01:14:49,ALG26-183,동의함,196,그렇지 않다,그렇지 않다,보통이다,보통이다,그렇다,보통이다,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,1
T1R-0084,2026-04-30 01:29:57,ALG26-087,동의함,121,매우 그렇다,보통이다,매우 그렇다,그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,보통이다,그렇다,매우 그렇다,그렇다,1
T1R-0049,2026-04-30 02:13:49,ALG26-050,동의함,186,그렇지 않다,그렇지 않다,전혀 그렇지 않다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,1
T1R-0167,2026-04-30 02:50:33,ALG26-171,동의함,131,그렇다,그렇다,그렇다,보통이다,보통이다,그렇다,보통이다,그렇다,그렇지 않다,보통이다,그렇다,그렇다,1
T1R-0047,2026-04-30 04:48:59,ALG26-048,동의함,316,그렇다,그렇다,보통이다,보통이다,매우 그렇다,그렇다,그렇지 않다,전혀 그렇지 않다,보통이다,보통이다,보통이다,보통이다,1
T1R-0124,2026-04-30 05:17:21,ALG26-128,동의함,159,매우 그렇다,그렇다,보통이다,그렇다,그렇다,보통이다,매우 그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,그렇다,1
T1R-0007,2026-04-30 05:44:12, ALG26-008 ,동의함,211,그렇다,그렇다,그렇다,그렇다,보통이다,매우 그렇다,그렇다,보통이다,보통이다,보통이다,보통이다,매우 그렇다,1
T1R-0142,2026-04-30 06:13:18,ALG26-146,동의함,127,그렇다,보통이다,보통이다,그렇다,그렇다,보통이다,그렇다,매우 그렇다,그렇다,보통이다,보통이다,보통이다,1
T1R-0069,2026-04-30 06:27:22,ALG26-070,동의함,202,매우 그렇다,매우 그렇다,그렇다,보통이다,그렇다,그렇다,그렇지 않다,매우 그렇다,보통이다,그렇다,보통이다,그렇다,1
T1R-0133,2026-04-30 07:14:11,ALG26-137,동의함,179,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,전혀 그렇지 않다,보통이다,그렇다,보통이다,그렇지 않다,그렇다,그렇다,1
T1R-0066,2026-04-30 07:45:10,ALG26-067,동의함,226,보통이다,보통이다,보통이다,보통이다,그렇지 않다,보통이다,보통이다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,1
T1R-0175,2026-04-30 09:09:25,ALG26-180,동의함,226,보통이다,보통이다,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,보통이다,전혀 그렇지 않다,그렇다,보통이다,보통이다,그렇지 않다,1
T1R-0073,2026-04-30 09:10:58,ALG26-075,동의함,331,그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇지 않다,보통이다,그렇다,그렇다,1
T1R-0177,2026-04-30 11:23:59,ALG26-182,동의함,97,그렇다,보통이다,보통이다,그렇다,보통이다,매우 그렇다,매우 그렇다,그렇다,그렇다,보통이다,매우 그렇다,그렇다,1
T1R-0037,2026-04-30 11:30:01,ALG26-038,동의함,122,보통이다,그렇다,보통이다,매우 그렇다,보통이다,그렇다,그렇지 않다,전혀 그렇지 않다,보통이다,보통이다,보통이다,보통이다,1
T1R-0102,2026-04-30 11:38:50,ALG26-105,동의함,156,보통이다,보통이다,보통이다,그렇다,보통이다,그렇다,그렇지 않다,보통이다,그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,보통이다,1
T1R-0045,2026-04-30 12:01:20,ALG26-046,동의함,229,보통이다,보통이다,매우 그렇다,그렇지 않다,보통이다,그렇다,매우 그렇다,보통이다,그렇다,그렇다,그렇지 않다,그렇다,1
T1R-0128,2026-04-30 13:34:57,ALG26-132,동의함,189,그렇지 않다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇지 않다,그렇다,1
T1R-0103,2026-04-30 13:51:02,ALG26-106,동의함,127,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,1
T1R-0008,2026-04-30 14:16:19,alg26-009,동의함,297,보통이다,보통이다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,그렇다,보통이다,보통이다,그렇다,그렇지 않다,보통이다,1
T1R-0035,2026-04-30 15:10:18,ALG26-036,동의함,208,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,그렇지 않다,그렇지 않다,보통이다,그렇다,보통이다,그렇지 않다,1
T1R-0082,2026-04-30 15:43:52,ALG26-085,동의함,144,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,1
