"study_id","section","LCU1_T1","LCU2_T1","LCU3_T1","LCU4_T1","LCU5_T1","LCU6_T1","SRL1_T1","SRL2_T1","SRL3_T1","SRL4_T1","SRL5_T1","SRL6_T1","SRL1_T2","SRL2_T2","SRL3_T2","SRL4_T2","SRL5_T2","SRL6_T2","LCU_T1_mean","SRL_T1_mean","SRL_T2_mean","midterm_score","final_score","synthetic_flag"
"ALG26-071","B",3,4,3,3,2,2,4,3,4,4,4,3,2,3,2,3,2,3,2.83333333333333,3.66666666666667,2.5,63,58.5,1
"ALG26-073","B",4,4,3,3,5,3,4,4,5,5,4,4,5,5,5,3,5,4,3.66666666666667,4.33333333333333,4.5,70,79.5,1
"ALG26-074","B",4,4,2,3,4,1,3,3,2,2,1,3,2,2,1,2,3,3,3,2.33333333333333,2.16666666666667,83,64.5,1
"ALG26-075","B",4,4,4,4,5,4,4,4,2,3,4,4,3,3,4,3,3,3,4.16666666666667,3.5,3.16666666666667,67.5,70,1
"ALG26-076","B",5,4,4,3,5,5,1,3,4,3,2,3,2,3,2,4,3,4,4.33333333333333,2.66666666666667,3,79,77.5,1
"ALG26-078","B",2,2,2,4,2,3,5,4,3,3,5,5,3,4,4,4,5,5,2.5,4.16666666666667,4.16666666666667,63.5,54.5,1
"ALG26-079","B",4,3,3,3,3,3,2,3,4,4,4,3,3,2,3,4,4,3,3.16666666666667,3.33333333333333,3.16666666666667,79,69.5,1
"ALG26-080","B",3,4,3,4,2,3,1,3,1,2,2,1,2,2,2,2,3,3,3.16666666666667,1.66666666666667,2.33333333333333,74,61.5,1
"ALG26-081","B",4,5,3,3,4,5,4,5,3,3,5,4,4,4,2,2,4,4,4,4,3.33333333333333,52,82,1
"ALG26-082","B",5,4,5,5,5,5,4,5,5,3,4,5,3,5,4,2,5,5,4.83333333333333,4.33333333333333,4,94.5,99.5,1
"ALG26-083","B",5,4,4,5,3,4,5,5,4,5,5,4,4,3,4,4,4,3,4.16666666666667,4.66666666666667,3.66666666666667,84,75,1
"ALG26-084","B",1,3,3,3,3,2,3,3,3,2,4,4,3,3,2,2,3,2,2.5,3.16666666666667,2.5,69.5,58,1
"ALG26-085","B",4,4,4,5,5,4,5,5,4,4,5,5,3,5,5,4,5,5,4.33333333333333,4.66666666666667,4.5,85.5,79,1
"ALG26-086","B",4,4,2,2,4,3,2,2,3,3,2,2,1,4,3,2,2,5,3.16666666666667,2.33333333333333,2.83333333333333,57,60,1
"ALG26-087","B",5,3,5,4,3,5,4,5,3,4,5,4,4,5,4,4,4,4,4.16666666666667,4.16666666666667,4.16666666666667,78.5,85,1
"ALG26-088","B",3,4,4,3,4,3,4,2,5,3,3,4,3,3,2,3,2,3,3.5,3.5,2.66666666666667,75,69.5,1
"ALG26-089","B",3,3,2,4,3,3,4,3,3,3,4,2,3,4,3,2,5,3,3,3.16666666666667,3.33333333333333,48,72,1
"ALG26-090","B",4,4,3,4,4,3,3,4,4,3,3,4,5,3,5,5,4,5,3.66666666666667,3.5,4.5,56.5,71.5,1
"ALG26-092","B",2,4,2,4,4,3,4,3,5,4,4,4,3,4,4,4,4,3,3.16666666666667,4,3.66666666666667,98,94.5,1
"ALG26-093","B",3,2,3,4,3,3,3,1,2,4,2,2,2,3,2,2,4,3,3,2.33333333333333,2.66666666666667,64.5,61,1
"ALG26-094","B",4,4,4,2,2,4,3,3,4,3,4,4,4,2,4,4,4,5,3.33333333333333,3.5,3.83333333333333,76.5,64,1
"ALG26-095","B",3,4,4,4,3,5,5,5,5,5,5,5,5,5,4,4,3,4,3.83333333333333,5,4.16666666666667,49.5,56.5,1
"ALG26-096","B",3,4,3,4,2,3,1,1,1,1,1,1,3,1,3,3,3,3,3.16666666666667,1,2.66666666666667,58.5,55.5,1
"ALG26-097","B",5,4,5,5,5,4,3,4,3,4,4,3,5,5,5,3,4,5,4.66666666666667,3.5,4.5,74,72.5,1
"ALG26-098","B",4,4,4,4,4,4,3,4,3,4,3,4,3,4,2,4,2,4,4,3.5,3.16666666666667,77.5,71,1
"ALG26-099","B",3,3,2,4,3,3,1,1,3,2,2,3,3,3,4,3,4,4,3,2,3.5,62,54.5,1
"ALG26-100","B",5,5,5,5,5,5,3,4,4,4,4,3,5,5,3,3,5,4,5,3.66666666666667,4.16666666666667,86.5,100,1
"ALG26-101","B",4,4,4,5,4,3,3,4,4,3,4,2,4,3,4,4,3,5,4,3.33333333333333,3.83333333333333,78,70,1
"ALG26-103","B",3,3,3,3,3,3,3,2,2,3,2,3,2,2,2,3,3,2,3,2.5,2.33333333333333,59,59.5,1
"ALG26-104","B",5,4,5,4,4,4,3,4,3,4,3,4,5,5,4,4,5,5,4.33333333333333,3.5,4.66666666666667,54.5,62,1
"ALG26-105","B",3,3,3,4,3,4,2,3,2,1,1,3,3,4,4,3,4,4,3.33333333333333,2,3.66666666666667,62.5,74.5,1
"ALG26-106","B",5,5,5,5,5,5,4,4,3,5,4,5,5,5,5,5,5,5,5,4.16666666666667,5,84,87,1
"ALG26-107","B",4,4,4,4,5,5,4,3,3,3,4,4,4,4,3,4,4,4,4.33333333333333,3.5,3.83333333333333,89,62,1
"ALG26-108","B",5,5,4,4,5,4,5,5,5,4,4,5,3,4,4,4,4,5,4.5,4.66666666666667,4,72.5,73,1
"ALG26-109","B",5,5,4,4,5,5,4,4,4,2,3,2,5,4,4,4,3,4,4.66666666666667,3.16666666666667,4,89.5,87,1
"ALG26-111","B",2,3,2,3,2,4,3,3,3,2,3,4,3,2,4,4,4,5,2.66666666666667,3,3.66666666666667,55,65,1
"ALG26-112","B",2,2,3,3,4,4,3,3,5,3,5,4,5,5,4,4,5,4,3,3.83333333333333,4.5,75.5,79.5,1
"ALG26-114","B",3,4,3,3,4,4,4,3,5,4,4,4,4,4,4,4,4,5,3.5,4,4.16666666666667,82,65.5,1
"ALG26-115","B",3,4,3,3,4,3,2,3,2,4,2,3,3,3,5,3,3,2,3.33333333333333,2.66666666666667,3.16666666666667,73.5,65.5,1
"ALG26-116","B",4,4,3,3,3,3,2,3,4,4,3,2,2,4,2,4,2,3,3.33333333333333,3,2.83333333333333,98,100,1
"ALG26-118","B",2,3,4,3,4,3,1,4,2,1,3,2,2,2,2,2,2,2,3.16666666666667,2.16666666666667,2,71.5,68,1
"ALG26-120","B",4,3,4,3,3,3,3,4,4,5,4,3,3,5,4,3,3,3,3.33333333333333,3.83333333333333,3.5,55.5,60.5,1
"ALG26-122","B",4,4,4,4,4,4,4,4,5,3,3,4,4,5,5,4,3,4,4,3.83333333333333,4.16666666666667,72.5,60,1
"ALG26-124","B",2,2,3,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,2.16666666666667,1.83333333333333,1.5,60,45.5,1
"ALG26-125","B",5,5,3,4,4,4,3,3,3,2,3,3,4,4,4,4,4,4,4.16666666666667,2.83333333333333,4,91.5,100,1
"ALG26-126","B",4,5,4,3,5,5,4,3,3,2,4,3,3,3,2,4,3,4,4.33333333333333,3.16666666666667,3.16666666666667,50.5,62,1
"ALG26-127","C",3,3,3,2,2,3,4,5,5,4,4,4,4,5,5,4,4,4,2.66666666666667,4.33333333333333,4.33333333333333,86,95,1
"ALG26-128","C",5,4,3,4,4,3,5,5,4,4,5,4,3,4,4,5,4,4,3.83333333333333,4.5,4,75,86.5,1
"ALG26-129","C",3,3,3,3,4,2,4,5,4,4,4,3,5,3,5,4,4,5,3,4,4.33333333333333,67,66.5,1
"ALG26-130","C",4,3,5,2,3,2,4,2,4,2,4,2,3,2,2,3,4,2,3.16666666666667,3,2.66666666666667,75.5,58.5,1
"ALG26-131","C",5,5,4,5,3,3,4,4,4,3,4,4,4,3,3,4,4,4,4.16666666666667,3.83333333333333,3.66666666666667,60,70,1
"ALG26-133","C",4,4,4,5,5,4,4,4,3,4,4,4,5,5,4,4,4,5,4.33333333333333,3.83333333333333,4.5,76,61,1
"ALG26-134","C",3,4,2,4,2,2,4,3,3,3,3,2,4,4,4,4,3,4,2.83333333333333,3,3.83333333333333,55,49.5,1
"ALG26-135","C",4,4,4,4,4,4,4,3,4,4,4,3,4,5,5,3,4,5,4,3.66666666666667,4.33333333333333,50,65,1
"ALG26-136","C",3,3,4,4,4,3,4,3,4,4,3,3,2,3,3,3,4,1,3.5,3.5,2.66666666666667,72,65,1
"ALG26-137","C",2,2,2,2,3,1,3,4,3,2,4,4,4,3,3,4,4,4,2,3.33333333333333,3.66666666666667,61.5,66,1
"ALG26-138","C",2,3,3,4,4,3,2,3,3,5,3,5,3,3,4,3,4,4,3.16666666666667,3.5,3.5,80.5,73.5,1
"ALG26-139","C",3,2,4,4,4,4,2,1,2,3,2,4,3,2,2,4,3,3,3.5,2.33333333333333,2.83333333333333,73,72.5,1
"ALG26-140","C",4,4,3,4,3,3,2,3,3,3,2,4,4,2,3,4,2,2,3.5,2.83333333333333,2.83333333333333,57,44,1
"ALG26-141","C",3,2,4,4,4,3,2,4,3,5,5,4,3,2,2,3,3,4,3.33333333333333,3.83333333333333,2.83333333333333,90.5,81,1
"ALG26-142","C",2,3,2,3,2,2,2,3,2,2,2,2,3,4,2,2,2,2,2.33333333333333,2.16666666666667,2.5,65,49,1
"ALG26-143","C",2,3,3,2,2,3,2,4,3,4,3,3,4,4,4,2,4,5,2.5,3.16666666666667,3.83333333333333,73.5,76,1
"ALG26-144","C",3,3,4,2,3,4,4,3,4,2,2,2,4,3,4,4,5,2,3.16666666666667,2.83333333333333,3.66666666666667,71,73,1
"ALG26-145","C",4,4,4,4,3,4,2,3,3,3,2,2,4,4,3,4,4,4,3.83333333333333,2.5,3.83333333333333,76.5,69.5,1
"ALG26-146","C",4,3,3,4,4,3,4,5,4,3,3,3,2,4,2,3,2,4,3.5,3.66666666666667,2.83333333333333,81,58,1
"ALG26-147","C",5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,4.66666666666667,4.83333333333333,81,97,1
"ALG26-148","C",4,4,4,3,3,4,5,4,4,4,4,5,4,3,3,4,3,4,3.66666666666667,4.33333333333333,3.5,75.5,76.5,1
"ALG26-149","C",4,4,3,4,3,4,1,2,4,2,4,3,5,3,4,3,3,3,3.66666666666667,2.66666666666667,3.5,81.5,86,1
"ALG26-150","C",3,3,3,2,3,3,2,4,3,2,2,1,1,3,3,2,2,1,2.83333333333333,2.33333333333333,2,67.5,65,1
"ALG26-151","C",4,3,3,3,3,3,4,3,2,3,2,3,3,3,4,3,3,2,3.16666666666667,2.83333333333333,3,66.5,56,1
"ALG26-152","C",4,3,2,3,3,3,4,4,3,4,3,5,4,5,4,3,4,3,3,3.83333333333333,3.83333333333333,70,53.5,1
"ALG26-153","C",5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,4,4.16666666666667,4,3.83333333333333,70.5,73,1
"ALG26-154","C",2,2,3,2,4,2,5,4,5,3,4,4,5,4,4,5,4,3,2.5,4.16666666666667,4.16666666666667,84,73,1
"ALG26-155","C",1,3,1,3,1,3,3,3,4,5,4,3,2,3,3,4,2,3,2,3.66666666666667,2.83333333333333,74.5,86,1
"ALG26-156","C",3,2,3,4,3,3,2,2,2,2,2,3,1,3,4,3,2,2,3,2.16666666666667,2.5,98,98,1
"ALG26-157","C",3,3,2,3,3,3,3,3,2,2,3,2,2,3,3,2,3,3,2.83333333333333,2.5,2.66666666666667,69.5,65,1
"ALG26-158","C",5,4,5,5,4,5,3,5,5,4,3,5,3,4,5,5,3,4,4.66666666666667,4.16666666666667,4,56,71.5,1
"ALG26-159","C",3,4,4,4,4,4,3,2,2,4,2,2,4,3,2,3,1,3,3.83333333333333,2.5,2.66666666666667,61,58,1
"ALG26-160","C",4,4,4,4,4,4,4,4,4,4,3,4,5,4,5,4,3,5,4,3.83333333333333,4.33333333333333,67,88,1
"ALG26-161","C",3,3,4,3,3,4,4,3,3,4,4,3,2,3,3,4,5,2,3.33333333333333,3.5,3.16666666666667,68,61,1
"ALG26-162","C",4,4,4,4,4,2,3,4,3,2,3,5,5,5,4,5,3,4,3.66666666666667,3.33333333333333,4.33333333333333,79,87,1
"ALG26-163","C",2,2,2,4,3,3,2,3,2,3,1,3,2,1,3,3,2,3,2.66666666666667,2.33333333333333,2.33333333333333,83,67.5,1
"ALG26-165","C",3,3,3,3,2,4,1,3,1,2,3,4,2,3,3,3,2,2,3,2.33333333333333,2.5,63,72.5,1
"ALG26-166","C",4,4,4,3,4,4,5,4,4,4,5,5,5,5,3,4,5,3,3.83333333333333,4.5,4.16666666666667,77.5,80,1
"ALG26-167","C",2,2,3,4,2,3,5,3,4,4,2,3,3,3,2,3,3,4,2.66666666666667,3.5,3,56,87.5,1
"ALG26-168","C",3,4,4,4,4,5,2,2,3,3,2,3,4,3,2,3,4,4,4,2.5,3.33333333333333,70,66,1
"ALG26-169","C",3,3,3,2,5,3,3,4,2,3,3,3,4,2,2,3,2,4,3.16666666666667,3,2.83333333333333,53.5,60,1
"ALG26-170","C",4,4,4,4,4,3,4,3,3,2,2,3,3,4,3,4,5,3,3.83333333333333,2.83333333333333,3.66666666666667,66,57.5,1
"ALG26-173","C",4,4,2,3,4,3,4,3,2,4,4,2,3,3,4,4,3,3,3.33333333333333,3.16666666666667,3.33333333333333,66.5,71.5,1
"ALG26-174","C",2,2,2,2,2,2,3,4,3,3,2,4,4,5,3,4,4,4,2,3.16666666666667,4,69.5,77.5,1
"ALG26-175","C",3,4,4,4,4,3,3,3,3,4,4,4,3,3,4,5,3,3,3.66666666666667,3.5,3.5,59,67,1
"ALG26-177","C",2,2,4,1,3,3,3,5,5,4,3,5,2,4,3,3,4,3,2.5,4.16666666666667,3.16666666666667,77,81,1
"ALG26-178","C",4,4,4,4,5,4,3,2,4,4,4,4,4,2,3,4,4,5,4.16666666666667,3.5,3.66666666666667,88.5,98.5,1
"ALG26-179","C",2,2,2,3,2,3,3,4,2,4,4,2,2,4,4,3,3,1,2.33333333333333,3.16666666666667,2.83333333333333,75.5,73,1
"ALG26-180","C",3,3,2,3,2,2,3,1,4,3,3,2,4,2,3,3,4,2,2.5,2.66666666666667,3,39,37,1
"ALG26-181","C",3,3,5,4,3,4,4,4,3,3,5,4,4,3,3,4,3,4,3.66666666666667,3.83333333333333,3.5,66,67.5,1
"ALG26-182","C",4,3,3,4,3,5,5,4,4,3,5,4,4,4,5,4,5,4,3.66666666666667,4.16666666666667,4.33333333333333,63,93,1
"ALG26-183","C",2,2,3,3,4,3,2,2,2,3,2,2,5,4,3,2,4,4,2.83333333333333,2.16666666666667,3.66666666666667,50,56.5,1
"ALG26-184","C",3,3,3,3,5,4,1,2,3,3,3,2,4,4,3,3,2,3,3.5,2.33333333333333,3.16666666666667,31.5,55.5,1
"ALG26-185","C",3,2,3,4,4,3,2,4,4,3,3,4,2,4,2,2,3,3,3.16666666666667,3.33333333333333,2.66666666666667,58,61,1
